id,title,salary_from,salary_to,currency,experience,experience_label,skills,area_name,published_at,url
126073138,Middle+ Python Developer,,324034.0,RUR,moreThan6,Более 6 лет,"FastAPI, Python, Rust",Астана,2025-10-02 15:43:22+03:00,https://hh.ru/vacancy/126073138
125979327,Junior Python разработчик,,,RUR,noExperience,Нет опыта,"Django, Python",Москва,2025-09-30 17:28:27+03:00,https://hh.ru/vacancy/125979327
126106805,Python Developer,,,RUR,between3And6,От 3 до 6 лет,"Django, FastAPI, MySQL, PostgreSQL, Python",Тбилиси,2025-10-03 11:53:55+03:00,https://hh.ru/vacancy/126106805
126025161,Python developer (Middle),,,RUR,between3And6,От 3 до 6 лет,"API, Django, FastAPI, Kafka, Python, REST",Санкт-Петербург,2025-10-01 16:30:29+03:00,https://hh.ru/vacancy/126025161
125933323,Python Developer,130000.0,,RUR,between1And3,От 1 года до 3 лет,"FastAPI, Git, Python, SQL",Москва,2025-09-30 07:24:18+03:00,https://hh.ru/vacancy/125933323
126082167,Middle Python Developer,200000.0,,RUR,between3And6,От 3 до 6 лет,"Celery, FastAPI, Flask, Kafka, MySQL, Python, Redis",Санкт-Петербург,2025-10-02 18:22:49+03:00,https://hh.ru/vacancy/126082167
125977327,Python-разработчик (junior),,,RUR,between1And3,От 1 года до 3 лет,"Django, FastAPI, Git, Python, pytest",Москва,2025-09-30 16:47:12+03:00,https://hh.ru/vacancy/125977327
126054919,Python Developer,300000.0,,RUR,moreThan6,Более 6 лет,Python,Москва,2025-10-02 11:07:05+03:00,https://hh.ru/vacancy/126054919
126031777,Junior Python-разработчик,,,RUR,between1And3,От 1 года до 3 лет,"API, Python, REST",Санкт-Петербург,2025-10-01 19:50:20+03:00,https://hh.ru/vacancy/126031777
125976319,Python junior/middle разработчик,90000.0,130000.0,RUR,between1And3,От 1 года до 3 лет,"Git, PostgreSQL, Python",Казань,2025-09-30 16:31:57+03:00,https://hh.ru/vacancy/125976319
126101615,Python-разработчик,,,RUR,between3And6,От 3 до 6 лет,"Django, FastAPI, Grafana, Prometheus, Python, Vue",Санкт-Петербург,2025-10-03 10:37:49+03:00,https://hh.ru/vacancy/126101615
125063498,Python разработчик,160000.0,200000.0,RUR,between1And3,От 1 года до 3 лет,"API, Python",Москва,2025-10-02 12:01:18+03:00,https://hh.ru/vacancy/125063498
126012979,Python-разработчик,,,RUR,between1And3,От 1 года до 3 лет,,Москва,2025-10-01 13:31:24+03:00,https://hh.ru/vacancy/126012979
126087246,Python-разработчик,200000.0,200000.0,RUR,between3And6,От 3 до 6 лет,Python,Санкт-Петербург,2025-10-03 00:41:13+03:00,https://hh.ru/vacancy/126087246
125971863,"Python-разработчик (Django, FastAPI)",,200000.0,RUR,between3And6,От 3 до 6 лет,"API, Django, FastAPI, Python",Москва,2025-09-30 15:17:36+03:00,https://hh.ru/vacancy/125971863
125894146,Разработчик Python,,250000.0,RUR,between3And6,От 3 до 6 лет,Python,Москва,2025-09-29 12:33:18+03:00,https://hh.ru/vacancy/125894146
125933347,Python разработчик,,410000.0,RUR,moreThan6,Более 6 лет,"API, Python",Москва,2025-09-30 07:24:39+03:00,https://hh.ru/vacancy/125933347
125955065,Backend-разработчик (Python),,,RUR,between3And6,От 3 до 6 лет,"FastAPI, PostgreSQL, Python",Москва,2025-09-30 12:00:42+03:00,https://hh.ru/vacancy/125955065
125145422,Middle Python разработчик,,250000.0,RUR,between3And6,От 3 до 6 лет,"API, Python",Москва,2025-10-02 12:01:18+03:00,https://hh.ru/vacancy/125145422
125471403,Python backend разработчик,200000.0,220000.0,RUR,between3And6,От 3 до 6 лет,"API, Django, Docker, Linux, REST, Redis",Москва,2025-09-18 10:40:02+03:00,https://hh.ru/vacancy/125471403
125538232,Middle Backed Python разработчик,,,RUR,between1And3,От 1 года до 3 лет,"Django, Python, REST",Ташкент,2025-09-19 15:49:27+03:00,https://hh.ru/vacancy/125538232
125655660,Python-разработчик,,,RUR,between1And3,От 1 года до 3 лет,"FastAPI, Python, pytest",Москва,2025-09-23 13:04:05+03:00,https://hh.ru/vacancy/125655660
126032874,Middle Python Developer,,,RUR,between3And6,От 3 до 6 лет,Python,Москва,2025-10-01 20:57:28+03:00,https://hh.ru/vacancy/126032874
126073718,"Python developer (middle, middle+)",,,RUR,between3And6,От 3 до 6 лет,"Django, Python",Воронеж,2025-10-02 15:54:04+03:00,https://hh.ru/vacancy/126073718
126108010,Python Developer (Openstack),,,RUR,between3And6,От 3 до 6 лет,"API, Bash, Python",Москва,2025-10-03 12:12:12+03:00,https://hh.ru/vacancy/126108010
126114471,Python-разработчик,,,RUR,between1And3,От 1 года до 3 лет,"FastAPI, Flask, Kafka, Python, Redis",Казань,2025-10-03 14:10:08+03:00,https://hh.ru/vacancy/126114471
125898084,Python developer,,,RUR,between3And6,От 3 до 6 лет,"Django, FastAPI, Python",Москва,2025-09-29 13:27:27+03:00,https://hh.ru/vacancy/125898084
125689509,Python Backend-разработчик,44255.0,,RUR,between1And3,От 1 года до 3 лет,"API, Celery, FastAPI, PostgreSQL, Python",Алматы,2025-09-24 10:01:33+03:00,https://hh.ru/vacancy/125689509
126069593,Python разработчик (Django),,,RUR,moreThan6,Более 6 лет,"Django, FastAPI, Flask, MongoDB, MySQL, PostgreSQL",Москва,2025-10-02 14:46:01+03:00,https://hh.ru/vacancy/126069593
125532366,"Python Developer (FastAPI, Microservices)",,,RUR,between1And3,От 1 года до 3 лет,"Celery, FastAPI, Python",Гродно,2025-09-19 14:11:01+03:00,https://hh.ru/vacancy/125532366
125106810,Python-разработчик,,,RUR,between1And3,От 1 года до 3 лет,Python,Москва,2025-09-09 14:48:45+03:00,https://hh.ru/vacancy/125106810
126005866,Middle Python-разработчик,,,RUR,between1And3,От 1 года до 3 лет,"API, Python",Санкт-Петербург,2025-10-01 11:47:22+03:00,https://hh.ru/vacancy/126005866
125953611,Python-разработчик (Junior),,50000.0,RUR,between1And3,От 1 года до 3 лет,"API, Git, PostgreSQL, Python, REST, SQL",Москва,2025-09-30 11:52:11+03:00,https://hh.ru/vacancy/125953611
125163119,Python AI-developer,,,RUR,between1And3,От 1 года до 3 лет,,Москва,2025-09-10 15:22:51+03:00,https://hh.ru/vacancy/125163119
